"","Player","PTS_G","TRB_G","AST_G","STL_G","BLK_G","X3P_G","PTS_100","TRB_100","AST_100","STL_100","BLK_100","X3P_100"
"72","Cody Martin",7.7,4,2.5,1.2,0.5,0.9,14,7.3,4.6,2.3,0.8,1.6
"73","Cody Zeller",5.2,4.6,0.8,0.3,0.2,0,19.3,17.2,3,1.1,0.8,0
"74","Cole Anthony",16.3,5.4,5.7,0.7,0.3,2,24.9,8.2,8.7,1.1,0.4,3.1
"75","Collin Sexton",16,3.3,2.1,0.9,0,1,27.8,5.7,3.6,1.6,0,1.7
"76","Corey Kispert",8.2,2.7,1.1,0.5,0.3,1.5,17.4,5.7,2.3,1,0.6,3.1
"77","Cory Joseph",8,2.7,3.6,0.6,0.3,1,15.9,5.3,7.2,1.3,0.5,2
"78","D'Angelo Russell",18.1,3.3,7.1,1,0.3,2.7,26.9,4.9,10.5,1.4,0.5,4
"79","D.J. Augustin",5.33333333333333,1.23333333333333,1.9,0.3,0,1.23333333333333,15.7666666666667,3.66666666666667,5.63333333333333,0.9,0.0666666666666667,3.66666666666667
"80","Daishen Nix",3.2,1.4,1.7,0.6,0,0.3,14,6,7.3,2.7,0,1.3
"81","Dalano Banton",3.2,1.9,1.5,0.4,0.2,0.2,14.7,8.9,7.1,2,0.7,0.9
"82","Damian Jones",8.1,4.4,1.2,0.5,0.8,0.2,21.5,11.6,3.3,1.2,2.2,0.5
"83","Damian Lillard",24,4.1,7.3,0.6,0.4,3.2,32.2,5.6,9.8,0.8,0.5,4.3
"84","Damion Lee",7.4,3.2,1,0.6,0.1,1,18.1,7.9,2.4,1.5,0.2,2.4
"85","Daniel Gafford",9.4,5.7,0.9,0.4,1.4,0,23.2,13.9,2.3,1,3.4,0
"86","Daniel Theis",8.16666666666667,4.86666666666667,0.9,0.4,0.7,0.7,19.2666666666667,11.4333333333333,2.1,1,1.56666666666667,1.6
"87","Danilo Gallinari",11.7,4.7,1.5,0.4,0.2,1.7,22.7,9.1,3,0.8,0.4,3.3
"88","Danny Green",5.9,2.5,1,1,0.6,1.7,13.5,5.8,2.4,2.2,1.4,3.8
"89","Danuel House Jr.",5.83333333333333,2.66666666666667,1.06666666666667,0.466666666666667,0.4,1,16.5333333333333,7.7,3.13333333333333,1.33333333333333,1.1,2.8
"90","Darius Bazley",10.8,6.3,1.4,0.8,1,1.2,18.9,11,2.5,1.5,1.8,2
"91","Darius Garland",21.7,3.3,8.6,1.3,0.1,2.6,30.3,4.6,12,1.8,0.1,3.6
"92","David Duke Jr.",4.7,3,0.8,0.6,0.3,0.4,14.8,9.5,2.4,2,1,1.3
"93","David Nwaba",5.1,3.3,0.8,0.6,0.4,0.3,18.2,11.8,2.7,2.2,1.6,1.2
"94","Davion Mitchell",11.5,2.2,4.2,0.7,0.3,1.3,20,3.8,7.3,1.3,0.6,2.3
"95","Davis Bertans",5.53333333333333,2.13333333333333,0.6,0.3,0.233333333333333,1.4,19.2,7.46666666666667,2,1.03333333333333,0.766666666666667,4.8
"96","Davon Reed",4.4,2.3,1.1,0.5,0.2,0.8,15.3,7.9,3.9,1.8,0.7,2.7
"97","Day'Ron Sharpe",6.2,5,0.5,0.3,0.5,0.1,24.5,19.8,2.1,1.2,1.9,0.2
"98","De'Aaron Fox",23.2,3.9,5.6,1.2,0.4,1.3,31.6,5.3,7.6,1.6,0.6,1.7
"99","De'Andre Hunter",13.4,3.3,1.3,0.7,0.4,1.4,22.1,5.5,2.1,1.1,0.7,2.3
"100","De'Anthony Melton",10.8,4.5,2.7,1.4,0.5,1.9,22.8,9.5,5.6,3,1.1,4
"101","Dean Wade",5.3,2.9,1,0.6,0.1,1,13.7,7.6,2.6,1.5,0.4,2.6
"102","DeAndre' Bembry",5.45,3.05,1.25,0.95,0.45,0.3,13.8,7.75,3.1,2.35,1.25,0.75
"103","Deandre Ayton",17.2,10.2,1.4,0.7,0.7,0.1,28,16.7,2.4,1.1,1.1,0.2
"104","DeAndre Jordan",4.33333333333333,5.56666666666667,0.433333333333333,0.233333333333333,0.7,0,16.2666666666667,20.7333333333333,1.66666666666667,0.866666666666667,2.63333333333333,0
"105","Dejounte Murray",21.1,8.3,9.2,2,0.3,1.4,29.2,11.4,12.7,2.8,0.5,1.9
"106","Delon Wright",4.4,2.9,2.4,1.2,0.2,0.6,11.6,7.4,6.4,3.1,0.6,1.5
"107","DeMar DeRozan",27.9,5.2,4.9,0.9,0.3,0.7,37.7,7,6.7,1.2,0.4,0.9
"108","DeMarcus Cousins",9,5.63333333333333,1.43333333333333,0.733333333333333,0.433333333333333,0.8,28.7666666666667,18.1,4.6,2.43333333333333,1.4,2.46666666666667
"109","Deni Avdija",8.4,5.2,2,0.7,0.5,1,17.1,10.6,4.2,1.5,1.1,2
"110","Dennis Schröder",12.9333333333333,3.3,4.9,0.8,0.133333333333333,1.33333333333333,22.2666666666667,5.76666666666667,8.5,1.4,0.266666666666667,2.26666666666667
"111","Dennis Smith Jr.",5.6,2.4,3.6,1.2,0.3,0.2,15.8,6.7,10.1,3.4,0.9,0.5
"112","Denzel Valentine",2.9,1.75,0.5,0.3,0,0.8,15.6,9.35,2.6,1.75,0,4.35
"113","Derrick Favors",5.3,4.7,0.6,0.4,0.3,0.1,15.4,13.7,1.9,1.3,0.9,0.1
"114","Derrick Jones Jr.",5.6,3.3,0.6,0.5,0.6,0.4,15.5,9.2,1.6,1.4,1.8,1.1
"115","Derrick Rose",12,3,4,0.8,0.5,1.4,24.5,6.1,8.1,1.7,0.9,2.9
"116","Derrick White",12.8666666666667,3.46666666666667,4.66666666666667,0.833333333333333,0.766666666666667,1.5,21.5333333333333,5.83333333333333,7.76666666666667,1.33333333333333,1.26666666666667,2.5
"117","Desmond Bane",18.2,4.4,2.7,1.2,0.4,3,29.2,7.1,4.4,1.9,0.6,4.8
"118","Devin Booker",26.8,5,4.8,1.1,0.4,2.7,37.4,7,6.8,1.6,0.5,3.8
"119","Devin Vassell",12.3,4.3,1.9,1.1,0.6,1.9,21.6,7.6,3.4,1.9,1,3.4
"120","Devontae Cacok",3.1,2.8,0.4,0.5,0.5,0,18.2,16.7,2.4,3.2,2.8,0
"121","Devonte' Graham",11.9,2.3,4.2,0.9,0.2,2.5,20.6,4,7.2,1.6,0.3,4.4
"122","Dewayne Dedmon",6.3,5.8,0.7,0.4,0.6,0.3,19.8,18.1,2.2,1.1,2,0.9
"123","Dillon Brooks",18.4,3.2,2.8,1.1,0.3,1.4,31.9,5.5,4.8,1.9,0.4,2.5
"124","Domantas Sabonis",18.9,12.1666666666667,5.33333333333333,0.966666666666667,0.4,0.533333333333333,26.7666666666667,17.3,7.6,1.3,0.6,0.8
"125","Donovan Mitchell",25.9,4.2,5.3,1.5,0.2,3.5,37.8,6.2,7.8,2.2,0.3,5.1
"126","Donte DiVincenzo",8.83333333333333,3.96666666666667,2.7,1.06666666666667,0.2,1.7,18.0333333333333,8.2,5.36666666666667,2.16666666666667,0.4,3.43333333333333
"127","Dorian Finney-Smith",11,4.7,1.9,1.1,0.5,2.2,16.8,7.1,2.9,1.7,0.7,3.3
"128","Doug McDermott",11.3,2.3,1.3,0.3,0.1,2.1,22.7,4.5,2.5,0.5,0.2,4.2
"129","Draymond Green",7.5,7.3,7,1.3,1.1,0.3,12.7,12.3,11.7,2.2,1.8,0.6
"130","Drew Eubanks",8.96666666666667,5.96666666666667,1.26666666666667,0.5,0.566666666666667,0.1,21.1666666666667,14.9,3.3,1.2,1.6,0.2
"131","Duane Washington Jr.",9.9,1.7,1.8,0.5,0.1,1.7,23.9,4.2,4.3,1.3,0.2,4.1
"132","Duncan Robinson",10.9,2.6,1.6,0.5,0.2,2.9,21.1,5,3.2,1,0.3,5.7
"133","Dwight Howard",6.2,5.9,0.6,0.6,0.6,0.1,18.4,17.6,1.7,1.7,1.8,0.4
"134","Dwight Powell",8.7,4.9,1.2,0.5,0.5,0.2,20.1,11.3,2.7,1,1.1,0.4
"135","Dylan Windler",2.2,1.8,0.7,0.3,0.1,0.4,12,9.7,3.7,1.5,0.3,2.3
"136","Ed Davis",0.9,2.1,0.2,0.1,0.3,0,7,15.9,1.7,0.7,2.2,0
"137","Elfrid Payton",3,1.8,2,0.5,0.1,0.1,13.1,7.7,8.7,2.2,0.5,0.4
"138","Elijah Hughes",3.46666666666667,1.56666666666667,0.566666666666667,0.4,0.2,0.7,15.2666666666667,6.73333333333333,2.5,1.63333333333333,0.8,3.16666666666667
"139","Enes Freedom",3.7,4.6,0.2,0.1,0.4,0.1,15.5,19.3,1,0.6,1.7,0.2
"140","Eric Bledsoe",9.9,3.4,4.2,1.3,0.4,0.9,19.2,6.6,8.1,2.5,0.7,1.8
"141","Eric Gordon",13.4,2,2.7,0.5,0.3,2.2,21.8,3.2,4.4,0.8,0.5,3.5
"142","Eric Paschall",5.8,1.8,0.6,0.2,0.1,0.7,22.4,7.1,2.4,0.6,0.3,2.7
"143","Evan Fournier",14.1,2.6,2.1,1,0.3,3,23.9,4.5,3.6,1.7,0.4,5.1
"144","Evan Mobley",15,8.3,2.5,0.8,1.7,0.3,22.2,12.2,3.7,1.2,2.5,0.5
"145","Facundo Campazzo",5.1,1.8,3.4,1,0.4,0.9,13.8,4.8,9.1,2.6,1,2.4
"146","Frank Jackson",10.6,1.6,1,0.5,0.2,1.6,23.5,3.6,2.3,1.1,0.4,3.6
"147","Frank Ntilikina",4.1,1.4,1.2,0.5,0.1,0.7,17.6,5.8,5.1,2,0.5,2.8
"148","Franz Wagner",15.2,4.5,2.9,0.9,0.4,1.2,23.8,7.1,4.6,1.4,0.7,1.9
"149","Fred VanVleet",20.3,4.4,6.7,1.7,0.5,3.7,26.8,5.9,8.8,2.3,0.7,4.9
"150","Furkan Korkmaz",7.6,2.6,1.9,0.5,0.1,1.1,18,6.2,4.5,1.2,0.3,2.7
"151","Gabe Vincent",8.7,1.9,3.1,0.9,0.2,1.8,18.6,4,6.6,2,0.4,3.7
"152","Garrett Temple",5.2,2.4,1.3,0.7,0.4,1,13.9,6.4,3.3,1.9,1,2.7
"153","Garrison Mathews",10,2.9,1,0.9,0.4,2.1,18.1,5.3,1.8,1.6,0.7,3.9
"154","Gary Clark",2.7,2.4,0.5,0.3,0.2,0.7,13.2,11.8,2.4,1.7,0.9,3.7
"155","Gary Harris",11.1,2,1.8,1,0.1,1.9,19,3.4,3,1.6,0.3,3.2
"156","Gary Payton II",7.1,3.5,0.9,1.4,0.3,0.6,19.6,9.7,2.5,3.8,0.9,1.7
"157","Gary Trent Jr.",18.3,2.7,2,1.7,0.3,3,26.2,3.9,2.9,2.5,0.4,4.3
"158","George Hill",6.2,2.9,2.2,0.8,0.1,0.8,12.8,5.9,4.6,1.6,0.2,1.6
"159","Georges Niang",9.2,2.7,1.3,0.4,0.2,2.1,20.1,5.8,2.9,0.9,0.4,4.5
"160","Georgios Kalaitzakis",6.6,1.6,0.9,0.8,0.2,0.8,20,4.3,3.1,2.7,0.4,2.3
"161","Giannis Antetokounmpo",29.9,11.6,5.8,1.1,1.4,1.1,43.6,17,8.5,1.6,2,1.5
"162","Goga Bitadze",7,3.5,1.1,0.4,0.8,0.5,23.4,11.9,3.7,1.4,2.8,1.5
"163","Goran Dragic",7.4,3.15,4.45,0.9,0.2,0.8,14.65,6.25,8.75,1.8,0.4,1.5
"164","Gordon Hayward",15.9,4.6,3.6,1,0.4,1.8,23.9,6.9,5.4,1.4,0.7,2.6
"165","Gorgui Dieng",3.5,2.8,0.8,0.3,0.3,0.7,20.4,16,4.5,1.5,1.7,3.8
"166","Grant Williams",7.8,3.6,1,0.5,0.7,1.4,16,7.3,2.1,1,1.5,2.8
"167","Grayson Allen",11.1,3.4,1.5,0.7,0.3,2.4,19.5,5.9,2.7,1.2,0.5,4.2
"168","Greg Brown III",4.7,2.8,0.7,0.5,0.5,0.4,17.2,10.3,2.7,2,1.8,1.5
"169","Greg Monroe",5.4,4.6,1.6,0.6,0.7,0,18.8,15.8,5.4,2,2.5,0
"170","Hamidou Diallo",11,4.8,1.3,1.2,0.3,0.4,24.5,10.7,2.8,2.7,0.7,0.9
"171","Harrison Barnes",16.4,5.6,2.4,0.7,0.2,1.8,23.5,8,3.5,1,0.3,2.6
"172","Hassan Whiteside",8.2,7.6,0.4,0.3,1.6,0,22.7,21,1.1,0.9,4.4,0
"173","Haywood Highsmith",2.3,1.4,0.3,0.1,0.2,0.5,13.2,8,1.8,0.6,0.9,2.8
"174","Herbert Jones",9.5,3.8,2.1,1.7,0.8,0.7,15.7,6.3,3.5,2.7,1.3,1.2
"175","Ignas Brazdeikis",5,1.7,0.9,0.2,0.1,0.6,19,6.5,3.3,0.9,0.3,2.4
"176","Immanuel Quickley",11.3,3.2,3.5,0.7,0,1.8,24.5,6.9,7.6,1.5,0.1,3.8
"177","Isaac Okoro",8.8,3,1.8,0.8,0.3,0.8,14.8,5.1,3.1,1.4,0.6,1.4
"178","Isaiah Hartenstein",8.3,4.9,2.4,0.7,1.1,0.2,22.7,13.4,6.4,2,3.1,0.6
"179","Isaiah Jackson",8.3,4.1,0.3,0.7,1.4,0.1,26.9,13.5,0.9,2.3,4.7,0.5
"180","Isaiah Joe",3.6,1,0.6,0.3,0.1,0.8,16.2,4.6,2.9,1.1,0.2,3.7
"181","Isaiah Livers",6.4,3,1.1,0.7,0.4,1.4,15.4,7.3,2.7,1.7,0.9,3.4
"182","Isaiah Roby",10.1,4.8,1.6,0.8,0.8,1,23.3,11.1,3.6,1.8,1.7,2.3
"183","Isaiah Stewart",8.3,8.7,1.2,0.3,1.1,0.2,15.8,16.6,2.2,0.6,2.1,0.4
"184","Isaiah Thomas",8.35,1.25,1.45,0.35,0.2,1.35,25.0333333333333,4.2,4.33333333333333,0.833333333333333,0.766666666666667,3.8
"185","Ish Smith",6.46666666666667,2.23333333333333,3.86666666666667,0.733333333333333,0.4,0.4,17.7,6.06666666666667,10.5,2.03333333333333,0.966666666666667,1.06666666666667
"186","Ish Wainright",2.4,1.2,0.3,0.4,0.1,0.4,14.5,7.2,2,2.7,0.8,2.5
"187","Ja Morant",27.4,5.7,6.7,1.2,0.4,1.5,39.6,8.2,9.7,1.7,0.6,2.2
"188","Jabari Parker",4.4,2.3,0.5,0.3,0.1,0.7,23.5,12.4,2.7,1.8,0.4,3.5
"189","Jaden McDaniels",9.2,4.2,1.1,0.7,0.8,1.1,17.1,7.7,2.1,1.4,1.4,2.1
"190","Jae'Sean Tate",11.8,5.4,2.8,0.9,0.5,0.8,21.3,9.7,5.1,1.7,0.9,1.5
"191","Jae Crowder",9.4,5.3,1.9,1.4,0.4,1.9,16.1,9,3.2,2.4,0.8,3.2
"192","Jahmi'us Ramsey",3.2,0.7,0.4,0.1,0.1,0.3,21.5,4.7,2.5,0.4,0.4,1.8
"193","Jake Layman",2.4,1.1,0.3,0.2,0.1,0.2,16.7,7.4,1.9,1.4,1,1.6
"194","Jakob Poeltl",13.5,9.3,2.8,0.7,1.7,0,22.3,15.4,4.6,1.1,2.9,0
"195","Jalen Brunson",16.3,3.9,4.8,0.8,0,1.2,25.6,6.2,7.5,1.3,0.1,1.9
"196","Jalen Green",17.3,3.4,2.6,0.7,0.3,2.3,25.8,5,3.9,1,0.4,3.5
"197","Jalen Johnson",2.4,1.2,0.1,0.1,0.1,0.1,21.3,10.6,1.2,1.2,0.8,1.2
"198","Jalen McDaniels",6.2,3.1,1.1,0.5,0.4,0.7,18.2,9.1,3.1,1.4,1.2,2.2
"199","Jalen Smith",9.53333333333333,6.13333333333333,0.5,0.3,0.8,0.833333333333333,24.4333333333333,16.2666666666667,1.23333333333333,0.8,2.2,2
"200","Jalen Suggs",11.8,3.6,4.4,1.2,0.4,0.9,20.9,6.3,7.7,2.2,0.7,1.6
"201","James Bouknight",4.6,1.7,0.8,0.2,0,0.5,22.4,8.2,4.1,1.1,0.2,2.7
"202","James Harden",21.8333333333333,7.6,10.3333333333333,1.26666666666667,0.5,2.26666666666667,28.7666666666667,10,13.5666666666667,1.66666666666667,0.633333333333333,2.96666666666667
"203","James Johnson",5.5,3.5,2.1,0.5,0.5,0.4,13.8,8.8,5.3,1.2,1.4,0.9
"204","Jamorko Pickett",3.8,2.5,0.5,0,0.5,1,13.9,8.9,1.9,0,1.9,3.6
"205","JaMychal Green",6.4,4.2,0.9,0.6,0.4,0.5,19.5,12.7,2.7,1.9,1.2,1.5
"206","Jared Butler",3.8,1.1,1.5,0.4,0.2,0.7,22.1,6.2,8.6,2.3,1.1,3.8
"207","Jaren Jackson Jr.",16.3,5.8,1.1,0.9,2.3,1.6,28.6,10.2,1.9,1.6,4,2.9
"208","Jarred Vanderbilt",6.9,8.4,1.3,1.3,0.6,0,13,15.8,2.4,2.5,1.2,0.1
"209","Jarrett Allen",16.1,10.8,1.6,0.8,1.3,0,25,16.6,2.5,1.2,2.1,0
"210","Jarrett Culver",3.5,1.3,0.9,0.5,0.1,0.3,18.4,6.8,4.7,2.8,0.7,1.7
"211","JaVale McGee",9.2,6.7,0.6,0.3,1.1,0,27.9,20.4,1.7,0.9,3.3,0.1
"212","Javonte Green",7.2,4.2,0.9,1,0.5,0.6,15,8.9,1.9,2.2,1,1.2
"213","Javonte Smart",2.7,1.45,1,0.35,0.2,0.4,10.8,5.75,4.05,1.35,0.65,1.55
"214","Jaxson Hayes",9.3,4.5,0.6,0.5,0.8,0.3,23.1,11.1,1.5,1.2,1.9,0.7
"215","Jay Scrubb",2.7,0.9,0.4,0.2,0.2,0.3,19.8,6.5,3.2,1.6,1.2,2.4
"216","Jaylen Brown",23.6,6.1,3.5,1.1,0.3,2.5,34.9,9,5.2,1.6,0.4,3.7
"217","Jaylen Nowell",8.5,2,2.1,0.4,0.2,1,25.7,6,6.3,1.3,0.5,3.1
"218","Jayson Tatum",26.9,8,4.4,1,0.6,3,37.2,11.1,6.1,1.4,0.9,4.2
"219","Jeff Green",10.3,3.1,1.3,0.4,0.4,0.7,20.5,6.1,2.5,0.7,0.7,1.4
"220","Jerami Grant",19.2,4.1,2.4,0.9,1,1.9,29.4,6.2,3.6,1.4,1.6,3
"221","Jeremiah Robinson-Earl",7.5,5.6,1,0.6,0.3,1.2,16.4,12.3,2.2,1.3,0.7,2.6
"222","Jeremy Lamb",7.43333333333333,2.9,1.5,0.566666666666667,0.433333333333333,0.966666666666667,21.1333333333333,8.16666666666667,4.26666666666667,1.53333333333333,1.13333333333333,2.8
"223","Jericho Sims",2.2,4.1,0.5,0.3,0.5,0,8.1,15.2,1.9,1,2,0
"224","Jevon Carter",4.46666666666667,1.8,1.66666666666667,0.4,0.2,1.03333333333333,14.8333333333333,5.9,5.3,1.3,0.7,3.5
"225","Jimmy Butler",21.4,5.9,5.5,1.6,0.5,0.5,31.6,8.7,8.1,2.4,0.7,0.7
"226","Jock Landale",4.9,2.6,0.8,0.2,0.3,0.5,21.6,11.2,3.7,0.8,1.1,2.4
"227","Joe Harris",11.3,4,1,0.5,0.1,2.9,18.1,6.4,1.6,0.8,0.2,4.7
"228","Joe Ingles",7.2,2.9,3.5,0.5,0.1,1.7,14.3,5.8,7,1,0.2,3.4
